"price","bedroom","sqft","bathroom","amenity_count","cityid","cityname","citypopulation"
2650,1,499,1,6,2,"San Francisco",815201
2945,2,1000,1.5,6,2,"San Francisco",815201
2300,0,300,1,6,2,"San Francisco",815201
2330,0,478,1,8,2,"San Francisco",815201
2800,1,856,1,4,2,"San Francisco",815201
3344,2,786,2,8,2,"San Francisco",815201
4195,3,1380,2,8,2,"San Francisco",815201
2652,1,526,1,8,2,"San Francisco",815201
3500,3,1300,1,4,2,"San Francisco",815201
5560,2,1224,2,7,2,"San Francisco",815201
6117,3,1125,2,6,2,"San Francisco",815201
2295,1,700,1,3,2,"San Francisco",815201
2800,1,600,1,7,2,"San Francisco",815201
6400,2,1512,2,6,2,"San Francisco",815201
3445,1,620,1,7,2,"San Francisco",815201
5088,2,1286,2,7,2,"San Francisco",815201
4874,2,1334,2,8,2,"San Francisco",815201
4087,1,808,1,7,2,"San Francisco",815201
5521,2,752,1,8,2,"San Francisco",815201
3220,1,660,1,7,2,"San Francisco",815201
4300,2,1400,2,7,2,"San Francisco",815201
2025,0,300,1,3,2,"San Francisco",815201
2600,1,700,1,6,2,"San Francisco",815201
2700,1,650,1,4,2,"San Francisco",815201
4995,5,1800,2,6,2,"San Francisco",815201
5765,3,1228,2,7,2,"San Francisco",815201
6580,3,1474,2,6,2,"San Francisco",815201
5227,2,1078,2,7,2,"San Francisco",815201
3095,1,500,1,6,2,"San Francisco",815201
3486,1,788,1,7,2,"San Francisco",815201
5600,3,1570,2,0,2,"San Francisco",815201
4000,3,1350,2,3,2,"San Francisco",815201
3235,0,475,1,3,2,"San Francisco",815201
3595,1,640,1,2,2,"San Francisco",815201
2019,0,441,1,3,2,"San Francisco",815201
3215,1,550,1,5,2,"San Francisco",815201
2045,0,350,1,5,2,"San Francisco",815201
2690,2,830,1,4,2,"San Francisco",815201
5586,2,980,2,3,2,"San Francisco",815201
3154,1,450,1,3,2,"San Francisco",815201
3103,1,691,1,8,2,"San Francisco",815201
3387,1,721,1,6,2,"San Francisco",815201
700,0,170,1,0,2,"San Francisco",815201
5750,3,1300,1,6,2,"San Francisco",815201
2908,1,591,1,8,2,"San Francisco",815201
4195,2,825,1,7,2,"San Francisco",815201
8000,3,1599,2,6,2,"San Francisco",815201
2661,0,512,1,3,2,"San Francisco",815201
2500,1,400,1,7,2,"San Francisco",815201
4250,2,1186,2,7,2,"San Francisco",815201
3486,1,596,1,9,2,"San Francisco",815201
3200,1,925,1,5,2,"San Francisco",815201
2700,1,700,1,4,2,"San Francisco",815201
5500,3,1200,2,4,2,"San Francisco",815201
8975,3,1500,2,4,2,"San Francisco",815201
3395,1,725,1,4,2,"San Francisco",815201
2775,0,453,1,6,2,"San Francisco",815201
5995,1,1550,2,5,2,"San Francisco",815201
5598,3,1506,2,9,2,"San Francisco",815201
1650,0,300,1,6,2,"San Francisco",815201
5995,2,1200,2,5,2,"San Francisco",815201
2895,2,700,1,5,2,"San Francisco",815201
2595,1,600,1,5,2,"San Francisco",815201
3819,2,777,1,6,2,"San Francisco",815201
1795,0,450,1,6,2,"San Francisco",815201
2850,1,750,1,5,2,"San Francisco",815201
3215,1,450,1,5,2,"San Francisco",815201
2395,2,800,1,6,2,"San Francisco",815201
2740,1,615,1,6,2,"San Francisco",815201
5521,2,752,1,8,2,"San Francisco",815201
2250,0,700,1,4,2,"San Francisco",815201
5705,2,1200,2,5,2,"San Francisco",815201
2732,2,1151,2,8,2,"San Francisco",815201
2945,0,472,1,7,2,"San Francisco",815201
