price,bedroom,sqft,bathroom,amenity_count,cityID
4300,2,1400.0,2.0,7,4
5000,3,2200.0,3.0,7,4
4500,3,1578.0,2.0,7,4
5000,3,2200.0,3.0,8,4
2350,2,745.0,1.0,3,4
1585,1,650.0,1.0,5,4
2595,2,850.0,2.0,6,4
3600,3,1200.0,1.0,5,4
3200,3,1656.0,1.0,7,4
2900,3,1430.0,1.0,5,4
3700,3,1800.0,3.0,6,4
2000,1,700.0,1.0,6,4
3100,2,865.0,1.0,4,4
2275,2,700.0,1.0,5,4
2325,2,600.0,1.0,6,4
2000,2,1100.0,1.0,6,4
2195,2,900.0,1.0,6,4
2550,2,950.0,1.0,5,4
3200,3,1800.0,2.5,4,4
3500,2,1176.0,2.0,6,4
1300,3,250.0,1.0,3,4
2500,2,1171.0,2.0,4,4
2500,2,1125.0,2.0,5,4
2400,2,1000.0,1.0,6,4
3400,3,1600.0,1.0,4,4
2349,2,1040.0,2.0,6,4
3000,2,1348.0,1.0,8,4
3000,2,1348.0,1.0,6,4
2495,2,750.0,1.0,6,4
4950,4,2144.0,2.5,6,4
2800,2,1100.0,2.0,2,4
2700,2,1138.0,2.0,2,4
5000,3,2200.0,3.0,8,4
2734,1,605.0,1.0,8,4
7780,3,1482.0,2.0,9,4
2000,2,700.0,1.0,5,4
3000,3,1000.0,1.0,3,4
2500,1,550.0,1.0,7,4
1375,1,675.0,1.0,5,4
4195,3,1200.0,1.0,4,4
3600,3,1200.0,2.0,8,4
1900,1,700.0,1.0,0,4
2000,1,700.0,1.0,3,4
2200,2,900.0,1.0,0,4
2200,2,1100.0,1.0,5,4
2000,0,475.0,1.0,4,4
1800,1,700.0,1.0,6,4
3400,2,1642.0,2.5,6,4
2400,1,740.0,1.0,6,4
4200,2,1100.0,2.0,7,4
2025,1,550.0,1.0,4,4
1725,0,487.0,1.0,5,4
2100,0,410.0,1.0,7,4
3800,3,1400.0,2.0,0,4
2100,2,1800.0,1.5,4,4
2800,1,1000.0,1.0,0,4
2605,1,740.0,1.0,7,4
7800,8,2542.0,3.5,5,4
2515,1,624.0,1.0,8,4
5600,4,1400.0,2.0,7,4
1570,2,9999.0,1.0,9,4
2400,2,1000.0,1.0,3,4
4400,4,1500.0,2.0,5,4
2395,2,775.0,1.0,6,4
2200,2,850.0,1.0,5,4
1575,1,700.0,1.0,4,4
2300,1,700.0,1.0,6,4
1600,1,778.0,1.0,4,4
2400,2,1100.0,1.5,6,4
2358,0,430.0,1.0,9,4
2105,0,505.0,1.0,8,4
4500,2,1100.0,1.0,5,4
2150,1,600.0,1.0,5,4
2600,2,1300.0,1.0,4,4
2095,1,730.0,1.0,5,4
2439,2,1000.0,2.0,5,4
1839,1,580.0,1.0,5,4
2066,2,850.0,1.0,5,4
2902,2,1276.0,2.0,5,4
3116,2,1216.0,2.0,5,4
2583,1,936.0,1.0,5,4
2985,1,1235.0,1.0,5,4
2256,1,962.0,1.0,5,4
5295,2,1037.0,1.5,5,4
4495,1,915.0,1.0,5,4
2439,1,774.0,1.0,5,4
2797,1,1122.0,1.0,5,4
3403,1,568.0,1.0,7,4
2833,2,1081.0,2.0,3,4
3788,1,765.0,1.0,5,4
2350,2,975.0,2.0,5,4
2114,1,719.0,1.0,5,4
2893,2,1045.0,2.0,5,4
2506,1,690.0,1.0,5,4
4300,2,596.0,1.0,8,4
2800,2,1003.0,1.0,5,4
2500,0,364.0,1.0,8,4
3195,2,1000.0,1.5,5,4
3195,2,1000.0,1.5,5,4
2950,1,603.0,1.0,8,4
2800,3,1280.0,1.0,3,4
2200,2,800.0,1.0,3,4
2995,1,1000.0,1.0,6,4
2600,1,629.0,1.0,7,4
2700,3,1100.0,1.0,3,4
2400,2,1100.0,1.0,5,4
2250,1,490.0,1.0,7,4
4650,1,646.0,1.0,5,4
2200,0,430.0,1.0,7,4
2250,1,580.0,1.0,6,4
3100,2,700.0,1.0,5,4
2200,1,773.0,1.0,6,4
3000,2,1200.0,2.0,5,4
2800,2,650.0,1.0,6,4
2650,0,425.0,1.0,8,4
1966,1,560.0,1.0,5,4
3600,3,1200.0,2.0,4,4
1775,1,675.0,1.0,5,4
3900,2,1300.0,1.5,4,4
1800,1,950.0,1.0,6,4
2736,0,423.0,1.0,9,4
2300,2,1100.0,1.0,5,4
6510,2,1265.0,2.0,8,4
3850,1,730.0,1.0,8,4
1700,1,800.0,1.0,4,4
2995,1,535.0,1.0,6,4
2000,1,700.0,1.0,4,4
1604,0,300.0,1.0,6,4
1700,1,670.0,1.0,6,4
2950,4,1040.0,1.0,4,4
2550,1,600.0,1.0,6,4
3300,2,800.0,2.0,6,4
3300,2,800.0,1.0,5,4
