price,bedroom,sqft,bathroom,amenity_count,cityID
1255,1,660.0,1.0,3,8
895,1,625.0,1.0,6,8
2230,2,975.0,1.0,6,8
1350,2,860.0,1.0,3,8
1505,2,965.0,1.0,3,8
2300,2,925.0,1.0,6,8
3000,7,2900.0,3.0,3,8
1515,2,1050.0,2.0,3,8
1250,2,570.0,1.0,6,8
1450,2,860.0,1.0,8,8
1628,1,580.0,1.0,6,8
2230,2,975.0,1.0,6,8
1245,1,750.0,1.0,5,8
1180,1,640.0,1.0,8,8
1515,2,1050.0,2.0,3,8
2500,4,500.0,2.0,6,8
1295,3,1040.0,2.0,5,8
1395,4,1282.0,1.0,5,8
1295,3,1344.0,1.5,5,8
1195,3,1848.0,1.5,5,8
1195,3,1144.0,1.0,5,8
1275,1,640.0,1.0,3,8
2230,2,975.0,1.0,6,8
2230,2,975.0,1.0,6,8
1350,2,860.0,1.0,3,8
1345,1,750.0,1.0,3,8
1750,3,1012.0,2.0,6,8
1515,2,1050.0,2.0,3,8
1215,1,640.0,1.0,3,8
875,1,415.0,1.0,6,8
1605,1,620.0,1.0,6,8
1495,5,2300.0,1.5,5,8
2175,2,975.0,1.0,6,8
1495,2,1050.0,2.0,3,8
1180,1,640.0,1.0,3,8
1495,3,810.0,2.0,6,8
1955,2,1020.0,2.0,6,8
1500,2,1094.0,1.5,4,8
850,2,930.0,1.0,5,8
900,2,921.0,1.0,3,8
895,1,625.0,1.0,6,8
1255,1,660.0,1.0,3,8
1265,1,750.0,1.0,3,8
1750,3,1012.0,2.0,6,8
1660,1,620.0,1.0,6,8
1345,1,750.0,1.0,5,8
825,0,450.0,1.0,5,8
1605,1,620.0,1.0,6,8
1375,3,1100.0,1.5,0,8
1255,1,660.0,1.0,3,8
1515,2,1050.0,2.0,5,8
1475,1,1000.0,1.0,6,8
795,0,325.0,1.0,6,8
1515,2,1050.0,2.0,5,8
2175,2,975.0,1.0,6,8
1955,2,1020.0,2.0,6,8
1250,3,1150.0,1.5,6,8
1515,2,1050.0,2.0,5,8
1250,3,1150.0,1.5,6,8
1250,3,1150.0,1.5,6,8
1250,3,1150.0,1.5,6,8
1395,2,810.0,1.0,6,8
1295,2,850.0,1.0,3,8
1350,2,850.0,1.0,3,8
1750,3,1012.0,2.0,6,8
850,2,750.0,1.0,4,8
1695,2,1035.0,1.5,3,8
2099,3,2253.0,2.0,5,8
1660,1,620.0,1.0,6,8
894,0,450.0,1.0,5,8
1299,1,894.0,1.0,5,8
799,0,382.0,1.0,5,8
1265,1,750.0,1.0,5,8
1750,3,1012.0,2.0,6,8
1044,1,1.0,1.0,3,8
1375,2,1300.0,2.0,4,8
960,1,550.0,1.0,4,8
1180,2,850.0,1.0,6,8
1350,2,750.0,1.0,5,8
1628,1,580.0,1.0,6,8
1795,4,1075.0,2.5,6,8
1150,2,1000.0,1.0,5,8
1790,2,1200.0,2.0,8,8
1350,2,1728.0,1.0,8,8
925,2,900.0,1.0,5,8
860,1,544.0,1.0,0,8
1360,2,874.0,1.0,11,8
1660,1,620.0,1.0,6,8
1500,2,1440.0,1.0,3,8
1350,2,860.0,1.0,3,8
1375,3,1100.0,1.5,0,8
1605,1,620.0,1.0,6,8
1495,2,1050.0,2.0,5,8
1468,1,573.0,1.0,7,8
869,3,726.0,1.0,3,8
1300,2,700.0,1.0,3,8
960,3,1365.0,2.0,9,8
889,2,900.0,1.0,6,8
1200,3,1300.0,1.0,5,8
739,1,650.0,1.0,6,8
759,1,700.0,1.0,6,8
2785,2,976.0,1.0,6,8
1180,1,640.0,1.0,3,8
1746,2,968.0,2.0,7,8
1000,3,1600.0,1.0,3,8
825,1,375.0,1.0,6,8
620,1,665.0,1.0,3,8
1695,2,1035.0,1.5,3,8
750,2,450.0,1.0,4,8
1515,2,1050.0,2.0,5,8
1250,3,1150.0,1.5,6,8
1250,3,1150.0,1.5,6,8
775,1,470.0,1.0,6,8
2283,2,1633.0,2.0,7,8
1000,1,800.0,1.0,4,8
1375,2,1300.0,2.0,4,8
1375,2,1300.0,2.0,4,8
1970,2,1116.0,2.0,7,8
825,2,900.0,1.0,8,8
1955,2,1020.0,2.0,6,8
889,2,800.0,1.0,6,8
1200,3,1300.0,1.0,6,8
925,2,900.0,1.0,5,8
1000,1,800.0,1.0,4,8
2785,2,926.0,1.0,6,8
950,0,1.0,1.0,3,8
1044,1,1.0,1.0,3,8
1255,1,660.0,1.0,3,8
1150,3,1200.0,1.0,5,8
950,0,1.0,1.0,3,8
1820,1,794.0,1.0,8,8
2283,2,1633.0,2.0,7,8
1250,3,1150.0,1.5,6,8
975,1,575.0,1.0,6,8
1195,3,1754.0,1.5,5,8
1250,3,1150.0,1.5,6,8
3000,3,1554.0,2.0,6,8
1250,3,1150.0,1.5,5,8
1375,2,1300.0,2.0,4,8
1200,3,1728.0,1.5,7,8
1250,3,1968.0,2.0,7,8
1350,3,1360.0,1.0,5,8
700,1,250.0,1.0,5,8
700,1,450.0,1.0,5,8
750,1,450.0,1.0,5,8
1495,2,1050.0,2.0,5,8
1605,1,620.0,1.0,6,8
1350,2,860.0,1.0,3,8
1660,1,620.0,1.0,6,8
1495,2,1050.0,2.0,5,8
1468,1,573.0,1.0,7,8
2230,2,975.0,1.0,6,8
505,0,426.0,1.0,3,8
869,3,726.0,1.0,3,8
1600,2,1632.0,1.0,5,8
1050,2,615.0,1.0,6,8
1265,1,750.0,1.0,5,8
2702,3,1467.0,2.0,7,8
1350,2,1728.0,1.0,8,8
1436,1,573.0,1.0,7,8
2785,2,976.0,1.0,6,8
1795,4,1075.0,2.5,6,8
1255,1,660.0,1.0,3,8
1255,1,660.0,1.0,3,8
1265,1,750.0,1.0,5,8
2534,2,1522.0,2.0,7,8
2200,2,975.0,1.0,6,8
815,1,500.0,1.0,6,8
1265,1,750.0,1.0,5,8
1450,2,860.0,1.0,3,8
1495,2,1050.0,2.0,5,8
1660,1,620.0,1.0,6,8
1350,2,860.0,1.0,8,8
1275,1,640.0,1.0,5,8
2702,3,1467.0,2.0,7,8
1955,2,1020.0,2.0,6,8
1750,3,1012.0,2.0,6,8
1515,2,1050.0,2.0,5,8
815,1,500.0,1.0,6,8
1600,2,1035.0,1.5,8,8
2200,2,975.0,1.0,6,8
1275,1,640.0,1.0,5,8
1536,1,717.0,1.0,7,8
975,2,500.0,1.0,6,8
1515,2,1050.0,2.0,5,8
1180,1,640.0,1.0,3,8
1628,1,580.0,1.0,6,8
1750,3,1012.0,2.0,6,8
2162,2,1633.0,2.0,7,8
1555,2,965.0,1.0,5,8
1515,2,1050.0,2.0,3,8
1180,1,640.0,1.0,3,8
2785,2,926.0,1.0,6,8
1395,2,810.0,1.0,6,8
1727,1,848.0,1.0,7,8
1245,1,750.0,1.0,5,8
2200,2,975.0,1.0,6,8
1180,1,640.0,1.0,3,8
815,1,500.0,1.0,6,8
625,1,700.0,1.0,5,8
1275,1,640.0,1.0,5,8
670,2,870.0,1.0,5,8
1450,2,860.0,1.0,3,8
1370,1,500.0,1.0,9,8
1823,2,968.0,2.0,7,8
1535,2,965.0,1.0,3,8
1100,0,500.0,1.0,5,8
1650,2,1250.0,1.0,4,8
2200,4,1397.0,2.0,6,8
1495,2,1050.0,2.0,5,8
1350,2,860.0,1.0,3,8
1943,2,1116.0,2.0,7,8
2785,2,976.0,1.0,6,8
775,1,470.0,1.0,6,8
1515,2,1050.0,2.0,5,8
1255,1,660.0,1.0,3,8
1200,3,1300.0,1.0,5,8
695,0,350.0,1.0,5,8
1009,1,500.0,1.0,5,8
1139,1,610.0,1.0,5,8
1329,2,900.0,1.0,5,8
1180,1,640.0,1.0,3,8
1025,1,800.0,1.0,4,8
1025,1,800.0,1.0,5,8
1900,3,1650.0,1.5,3,8
1999,3,1650.0,1.5,3,8
1515,2,1050.0,2.0,5,8
950,1,800.0,1.0,5,8
950,1,800.0,1.0,5,8
910,1,550.0,1.0,5,8
625,1,550.0,1.0,4,8
950,1,800.0,1.0,5,8
1325,2,1220.0,1.0,3,8
1375,2,1065.0,1.5,3,8
2720,2,1522.0,2.0,7,8
750,1,450.0,1.0,5,8
1100,2,900.0,1.0,6,8
750,1,550.0,1.0,5,8
1550,3,900.0,1.0,4,8
700,1,450.0,1.0,5,8
700,1,250.0,1.0,5,8
1382,3,950.0,1.0,3,8
950,2,900.0,1.0,4,8
1800,3,1505.0,2.5,3,8
1515,2,1050.0,2.0,5,8
1495,2,1050.0,2.0,3,8
1350,2,860.0,1.0,3,8
895,1,625.0,1.0,6,8
960,1,524.0,1.0,5,8
1255,1,660.0,1.0,3,8
1000,2,980.0,1.0,5,8
1245,1,750.0,1.0,5,8
1515,2,1050.0,2.0,3,8
1020,1,750.0,1.0,3,8
1000,2,970.0,1.0,5,8
850,0,500.0,1.0,3,8
995,2,1200.0,1.0,5,8
