price,bedroom,sqft,bathroom,amenity_count,cityid,pop_class
2800,2,1200.0,2.0,5,1,2
2328,2,1095.0,2.0,5,1,2
1837,2,1136.0,2.0,5,1,2
1335,1,728.0,1.0,5,1,2
1757,2,1287.0,2.0,5,1,2
1262,1,516.0,1.0,5,1,2
2500,2,1200.0,2.0,5,1,2
1675,2,1100.0,2.0,5,1,2
1374,2,976.0,2.0,5,1,2
1230,0,512.0,1.0,5,1,2
1450,1,875.0,1.0,5,1,2
1230,1,705.0,1.0,5,1,2
1248,1,607.0,1.0,5,1,2
1775,1,900.0,1.0,5,1,2
1227,1,575.0,1.0,5,1,2
1904,2,1080.0,2.0,5,1,2
2437,2,1136.0,2.0,5,1,2
1949,3,1367.0,2.0,5,1,2
2053,3,1350.0,2.0,5,1,2
2616,2,1003.0,2.0,5,1,2
1558,2,1127.0,2.0,5,1,2
1289,0,513.0,1.0,6,1,2
1325,1,661.0,1.0,5,1,2
1359,1,684.0,1.0,5,1,2
3050,2,1604.0,2.5,6,1,2
2500,2,1050.0,2.0,5,1,2
1661,1,856.0,1.0,5,1,2
1980,2,995.0,2.0,5,1,2
1666,1,688.0,1.0,5,1,2
1674,2,976.0,2.0,5,1,2
1560,2,1122.0,2.0,5,1,2
1674,2,976.0,2.0,5,1,2
1896,1,776.0,1.0,5,1,2
2309,3,1451.0,2.0,6,1,2
1334,1,569.0,1.0,5,1,2
1227,1,575.0,1.0,5,1,2
1400,1,811.0,1.0,5,1,2
1978,2,991.0,2.0,5,1,2
1537,1,907.0,1.0,5,1,2
1675,2,1100.0,2.0,5,1,2
1974,2,976.0,2.0,5,1,2
1420,1,679.0,1.0,5,1,2
1430,1,688.0,1.0,5,1,2
1250,1,604.0,1.0,5,1,2
1855,1,692.0,1.0,5,1,2
1675,2,1101.0,2.0,5,1,2
1894,2,978.0,2.0,5,1,2
1799,1,661.0,1.0,5,1,2
1227,1,575.0,1.0,5,1,2
1299,1,630.0,1.0,5,1,2
2338,2,1110.0,2.0,5,1,2
2500,3,1462.0,2.5,5,1,2
1300,1,641.0,1.0,6,1,2
1795,1,734.0,1.0,5,1,2
2590,2,1143.0,2.0,5,1,2
1365,1,681.0,1.0,5,1,2
1882,1,732.0,1.0,5,1,2
2279,2,1155.0,2.0,5,1,2
1689,3,1576.0,2.0,5,1,2
2328,2,1095.0,2.0,5,1,2
2338,2,1110.0,2.0,5,1,2
2332,1,890.0,1.0,5,1,2
2328,2,1095.0,2.0,5,1,2
2032,1,890.0,1.0,5,1,2
1854,1,692.0,1.0,5,1,2
1898,1,712.0,1.0,5,1,2
2800,2,1200.0,2.0,5,1,2
1674,2,976.0,2.0,5,1,2
1380,2,882.0,1.0,8,1,2
1510,2,1033.0,2.0,5,1,2
2628,2,1095.0,2.0,5,1,2
1359,1,684.0,1.0,5,1,2
1874,0,561.0,1.0,5,1,2
1325,1,661.0,1.0,5,1,2
2225,3,1440.0,2.0,6,1,2
1446,4,1236.0,2.0,8,1,2
2095,1,895.0,1.0,9,1,2
1590,1,685.0,1.0,9,1,2
1599,1,685.0,1.0,9,1,2
1725,1,750.0,1.0,9,1,2
1465,1,736.0,1.0,7,1,2
2200,4,1938.0,2.0,8,1,2
1665,1,786.0,1.0,9,1,2
1400,1,650.0,1.0,3,1,2
1715,1,850.0,1.0,9,1,2
1915,1,715.0,1.0,9,1,2
1670,1,702.0,1.0,9,1,2
1750,2,1070.0,2.0,7,1,2
1395,1,630.0,1.0,7,1,2
1325,1,630.0,1.0,7,1,2
1345,1,630.0,1.0,7,1,2
