date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
12/31,"Exciting Area, Easy Commuting!",https://austin.craigslist.org/apa/7573485514.html,"$1,915",1br,592,South Central,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
12/31,"Smaller Options, Neighborhood Can't Be Beat!",https://austin.craigslist.org/apa/7573486057.html,"$1,301",1br,540,Arboretum,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d hookups', 'off-street parking', 'rent period: monthly']"
12/31,"FANTASTIC Location, Modern Finishes!",https://austin.craigslist.org/apa/7573484721.html,"$1,793",2br,1172,Georgetown,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
12/31,Cute Unique One Bedroom Units Available!,https://austin.craigslist.org/apa/7573485233.html,"$1,260",1br,495,Metric,1,"['apartment', 'w/d hookups', 'off-street parking', 'rent period: monthly']"
12/31,Two bed/ One bath--WEST!,https://austin.craigslist.org/apa/7573484810.html,"$2,262",2br,896,620,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d hookups', 'off-street parking', 'rent period: monthly']"
12/31,BEAUTIFUL apartments out West.,https://austin.craigslist.org/apa/7573485375.html,"$1,405",1br,839,2222,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
12/31,"Pet Friendly (Pet Fees Apply), Laundry On-Site, Karaoke Room",https://austin.craigslist.org/apa/7569765710.html,"$1,070",,275,"8300 North Interstate Highway 35, Austin, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
12/31,/2 Block Home for Rent,https://austin.craigslist.org/apa/7573481522.html,$700,3br,,,2,"['apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
12/31,"Handicap Accessible, Vinyl Plank Flooring, Dining Area",https://austin.craigslist.org/apa/7571048708.html,"$1,775",4br,1236,"2500 Louis Henna Boulevard, Round Rock, TX",2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d hookups', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
12/31,"Fully Equipped Kitchen, 24 Hour Emergency Maintenance, Newly Painted",https://austin.craigslist.org/apa/7571776752.html,"$1,099",1br,351,"8300 North Interstate Highway 35, Austin, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
12/31,"-20 No Dishwasher, Resort Style Swimming Pool, Karaoke Room",https://austin.craigslist.org/apa/7567028998.html,"$1,075",,275,"8300 North Interstate Highway 35, Austin, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
