date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
12/30,Newly renovated unit (2021) within steps of panoramic views of San Fra,https://sfbay.craigslist.org/sfc/apa/7573469813.html,"$2,150",1br,650,city of san francisco,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'laundry on site', 'off-street parking', 'rent period: monthly']"
12/30,Sunny Corner Unit,https://sfbay.craigslist.org/sfc/apa/7570157113.html,"$2,900",2br,,SOMA / south beach,1,"['apartment', 'laundry in bldg', 'no smoking', 'no parking', 'rent period: monthly']"
12/30,"GREAT NOE 3BR+2BA.HOUSE! Large,Sunny LandscYard,InUnitWD,Deck,Parking~",https://sfbay.craigslist.org/sfc/apa/7569595913.html,"$4,495",3br,,noe valley,2,"['application fee details: $40 - for each applicant.', 'house', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly']"
12/30,"Balcony or Patio, Cable Ready, Shimmering Swimming Pool",https://sfbay.craigslist.org/sfc/apa/7570416555.html,"$2,080",1br,535,alamo square / nopa,1,"['apartment', 'laundry on site', 'carport', 'rent period: monthly']"
12/30,**~**Have A Nice one bedroom apartment in SF Bay Area**~**.,https://sfbay.craigslist.org/sfc/apa/7573463655.html,$800,1br,,SOMA / south beach,1,"['apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
12/30,one bed and one den for rent,https://sfbay.craigslist.org/sfc/apa/7573464818.html,"$2,500",2br,495,San Francisco,1,"['house', 'laundry on site', 'no smoking', 'no parking', 'rent period: monthly']"
12/30,"couple's favorite !one bed with living room, big kitchen and  bath for rent",https://sfbay.craigslist.org/sfc/apa/7573464771.html,"$2,500",1br,495,San Francisco,1,"['house', 'laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
12/30,Lovely Outer Sunset Studio by Ocean Beach and shops,https://sfbay.craigslist.org/sfc/apa/7572044866.html,"$1,495",,,Outer Sunset,1,"['in-law', 'laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
12/30,"TOP Victorian Flat-PANO Vus! Sunny,HdWd,Yard,Patio,Deck,Storage",https://sfbay.craigslist.org/sfc/apa/7566311753.html,"$4,395",2br,1200,noe valley,1,"['application fee details: $40-Application/Job Verification', 'flat', 'laundry in bldg', 'street parking', 'rent period: monthly']"
12/30,"*BEST NOE LOCATION! SunnyYard/Private Patio,In-unitWD,HdWdFlrs!",https://sfbay.craigslist.org/sfc/apa/7569595702.html,"$3,475",2br,1000,noe valley,1,"['application fee details: $40 each for credit check & job verification.', 'duplex', 'w/d in unit', 'no smoking', 'street parking', 'rent period: monthly']"
12/30,"GREAT NOE 3BR+2BA.HOUSE! Large,Sunny LandscYard,InUnitWD,Deck,Parking~",https://sfbay.craigslist.org/sfc/apa/7569595517.html,"$4,495",3br,,noe valley,2,"['application fee details: $40 - for each applicant.', 'house', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly']"
12/30,One Bedroom Apartment (Sacramento & Leavenworth),https://sfbay.craigslist.org/sfc/apa/7563897630.html,"$1,850",1br,450,nob hill,1,"['apartment', 'no laundry on site', 'no smoking', 'no parking', 'rent period: monthly']"
12/30,EPIC REA-HALF MONTH FREE RENT-Bright/Beautiful 1BD/1BA w/PKG & Wash/Dr,https://sfbay.craigslist.org/sfc/apa/7573464462.html,"$2,495",1br,442,visitacion valley,1,"['application fee details: $45 Tenant Screening and application', 'duplex', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
12/30,EPIC REA - Beautiful 3BR/1BA lower flat unit  with a walk score 98/100,https://sfbay.craigslist.org/sfc/apa/7573463862.html,"$3,100",3br,900,mission district,1,"['application fee details: $45 Tenant screening and application', 'duplex', 'w/d in unit', 'no smoking', 'no parking', 'rent period: monthly']"
12/30,"Reduced, prime Dogpatch location, Live/work Loft available",https://sfbay.craigslist.org/sfc/apa/7567032856.html,"$3,375",1br,1325,potrero hill,1,"['application fee details: $30.00 application fee per applicant', 'cats are OK - purrr', 'loft', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: monthly']"
12/30,"EPIC REA_AZARI PM-UPDATED KITCHEN ,FLOOR ,BATHROOMS OF THIS COSY HOUSE",https://sfbay.craigslist.org/sfc/apa/7571192781.html,"$4,250",3br,1200,excelsior / outer mission,2,"['application fee details: $45 - Tenant screening and application', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
12/30,EpicREA-AzariPM-Fabulous View 1 BR + Den or Dining/1 BA -Arterra w/Pkg,https://sfbay.craigslist.org/sfc/apa/7570699519.html,"$3,850",1br,856,SOMA / south beach,1,"['application fee details: $45 - tenant screening & processing', 'condo', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
12/30,EpicREA - Fabulous Modern Large Studio/ with 1 bath with Views,https://sfbay.craigslist.org/sfc/apa/7570686750.html,"$2,300",,500,bayview,1,"['application fee details: $45 Tenant screening and application', 'apartment', 'laundry in bldg', 'no smoking', 'no parking', 'rent period: monthly']"
12/30,Epic REA -Live On Top of Nob Hill w/Views of Huntington Park,https://sfbay.craigslist.org/sfc/apa/7571441919.html,"$5,995",2br,1540,nob hill,2,"['application fee details: $45 Tenant screening and processing', 'apartment', 'w/d in unit', 'no smoking', 'no parking', 'rent period: monthly']"
12/30,"EV & scooter charging stations, Attended arrival desk, Skybox lounge",https://sfbay.craigslist.org/sfc/apa/7572239877.html,"$7,435",3br,1146,SOMA / south beach,2,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
12/30,EXECUTIVE HOME PARKING YARD LAUNDRY CHARGER! IDEAL LOCATION!,https://sfbay.craigslist.org/sfc/apa/7573460723.html,"$8,990",4br,2600,west portal / forest hill,3,"['apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
12/30,Spacious 1 bed 1 bath in the Marina,https://sfbay.craigslist.org/sfc/apa/7572467273.html,"$2,795",1br,750,marina / cow hollow,1,"['application fee details: $40 application fee to check credit and background', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: monthly']"
12/30,Cozy clean studio in the Marina,https://sfbay.craigslist.org/sfc/apa/7572744140.html,"$1,850",1br,400,marina / cow hollow,1,"['application fee details: $40 application fee to check credit and background', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: monthly']"
12/30,AMAZING! 2BR/1.5B Live/Work Loft (Parking Included!),https://sfbay.craigslist.org/sfc/apa/7565579588.html,"$3,900",2br,1254,SOMA / south beach,1.5,"['cats are OK - purrr', 'dogs are OK - wooof', 'loft', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
12/30,BEAUTIFUL 2BED HOME PARKING LAUNDRY AVAILABLE! IDEAL SF LOCATION!!,https://sfbay.craigslist.org/sfc/apa/7573458778.html,"$3,980",2br,1000,inner richmond,1,"['apartment', 'laundry in bldg', 'attached garage', 'rent period: monthly']"
12/30,Regina Towers Apartment for Rent,https://sfbay.craigslist.org/sfc/apa/7565442839.html,"$2,300",1br,,lower nob hill,1,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'no parking', 'rent period: monthly']"
12/30,Get 1month free + reduced deposit of  $250 W/ Private patio,https://sfbay.craigslist.org/sfc/apa/7572783959.html,"$2,720",1br,556,lower nob hill,1,"['apartment', 'laundry on site', 'carport', 'rent period: monthly']"
12/30,"Rare 2 bed/1 bath with parking, yard, w/d and the best access!",https://sfbay.craigslist.org/sfc/apa/7573458101.html,"$3,600",2br,850,San Francisco,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'house', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly']"
12/30,Beautiful spacious two bedrooms top floor,https://sfbay.craigslist.org/sfc/apa/7573461268.html,"$3,600",2br,1100,richmond / seacliff,1,"['cats are OK - purrr', 'house', 'laundry on site', 'attached garage', 'rent period: monthly']"
12/30,Beautiful spacious two bedrooms top floor,https://sfbay.craigslist.org/sfc/apa/7573461123.html,"$3,600",2br,1100,richmond / seacliff,1,"['cats are OK - purrr', 'house', 'laundry on site', 'attached garage', 'rent period: monthly']"
12/30,Beautiful spacious two bedrooms top floor,https://sfbay.craigslist.org/sfc/apa/7570186732.html,"$3,600",2br,1100,richmond / seacliff,1,"['cats are OK - purrr', 'house', 'laundry on site', 'attached garage', 'rent period: monthly']"
12/30,2bd/2ba Historic North Beach Malthouse- Available Jan,https://sfbay.craigslist.org/sfc/apa/7573459034.html,"$5,200",2br,1200,north beach / telegraph hill,2,"['EV charging', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
12/30,"Spacious 2 bedroom, 1 bathroom condo",https://sfbay.craigslist.org/sfc/apa/7573451903.html,$870,2br,1030,SF bay area,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
12/30,Large spacious 2/3 bedroom apartment,https://sfbay.craigslist.org/sfc/apa/7570548800.html,"$3,800",2br,,inner richmond,1,"['apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
12/30,Russian Hill Apt. in Green/Hyde Sts. Neighborhood,https://sfbay.craigslist.org/sfc/apa/7567022272.html,"$3,100",2br,800,russian hill,1,"['apartment', 'no laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
12/30,two bedroom / commercial space,https://sfbay.craigslist.org/sfc/apa/7570546887.html,"$3,000",2br,800,inner richmond,1.5,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']"
12/30,"Backyard terrace with pizza oven, Bike Storage & Repair",https://sfbay.craigslist.org/sfc/apa/7565904358.html,"$3,436",1br,596,SOMA / south beach,1,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'rent period: monthly', 'wheelchair accessible']"
12/30,Spacious Full House in Excelsior with Parking and Abundant Storage!,https://sfbay.craigslist.org/sfc/apa/7573453333.html,"$3,800",3br,955,excelsior / outer mission,1,"['application fee details: $50', 'cats are OK - purrr', 'dogs are OK - wooof', 'house', 'laundry on site', 'no smoking', 'attached garage', 'rent period: monthly']"
12/30,Spacious and Bright 3BR Flat with Parking Available and Backyard,https://sfbay.craigslist.org/sfc/apa/7573449363.html,"$3,950",3br,1300,excelsior / outer mission,2,"['application fee details: $50', 'apartment', 'laundry on site', 'no smoking', 'attached garage', 'rent period: monthly']"
12/30,SOMA Luxury Furnished Executive Retreat,https://sfbay.craigslist.org/sfc/apa/7573449709.html,"$9,500",1br,2300,SOMA / south beach,2.5,"['application fee details: $50 per adult', 'broker fee details: Lease Fee $350', 'furnished', 'condo', 'w/d in unit', 'listed by: Home 2 San Francisco', 'no parking', 'rent period: monthly']"
12/30,"Penthouse,Top of the world, Private view deck, Fresh air, Unique+Rare",https://sfbay.craigslist.org/sfc/apa/7565099786.html,"$4,295",3br,,inner richmond,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'street parking', 'rent period: monthly']"
12/30,Bright and Spacious 2 BD 1 BA Unit for Rent! Available Now!,https://sfbay.craigslist.org/sfc/apa/7567326532.html,"$3,800",2br,1200,USF / panhandle,1,"['duplex', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: monthly']"
12/30,"Leasing Now, Yoga Studio with Spin Bikes, Walk In Closets",https://sfbay.craigslist.org/sfc/apa/7573427669.html,"$3,809",1br,805,hayes valley,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
12/30,"Available 2-1, quiet pet-friendly apt. on beautiful Cole Valley street",https://sfbay.craigslist.org/sfc/apa/7573448698.html,"$2,600",1br,400,cole valley / ashbury hts,1,"['application fee details: $40 credit check', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
