date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
1/10,"Pool, Fitness Center, Covered Parking",https://houston.craigslist.org/apa/d/clute-pool-fitness-center-covered/7568670236.html,"$1,059",1br,756,"Creekwood Landing Dr, Richwood, TX",1,"['open house dates', 'thursday 2022-12-15', 'friday 2022-12-16', 'saturday 2022-12-17']"
1/10,"Private Patios, Reserved Parking, Tiled Floors",https://houston.craigslist.org/apa/d/houston-private-patios-reserved-parking/7571372383.html,"$1,370",2br,900,"1714 Wirt Road, Houston, TX",1.5,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Gated Community, Sand Volleyball Court, GOFetch Bark Park",https://houston.craigslist.org/apa/d/houston-gated-community-sand-volleyball/7567641145.html,$925,1br,868,,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d hookups', 'carport', 'rent period: monthly']"
1/10,"Convenient West Houston Location, Hardwood Style Flooring, Pet Park",https://houston.craigslist.org/apa/d/houston-convenient-west-houston/7572847556.html,"$1,012",2br,960,"8323 Cinnamon Ln, Houston, TX",2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,Condo for Lease/Private Owner (No Credit Check),https://houston.craigslist.org/apa/d/houston-condo-for-lease-private-owner/7577197054.html,"$1,300",2br,1200,"Spring Branch, Memorial",1.5,"['air conditioning', 'application fee details: $35', 'cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'no smoking', 'off-street parking', 'rent period: monthly']"
1/10,FRESH Deals & Fresh Starts,https://houston.craigslist.org/apa/d/houston-fresh-deals-fresh-starts/7577201449.html,$860,2br,1000,"houston, TX",1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
1/10,"Business Center (Coming Soon!), On-Site Maintenance, Elevator Access",https://houston.craigslist.org/apa/d/houston-business-center-coming-soon-on/7577200404.html,"$1,399",2br,950,"14703 Park Row, Houston, TX",2,"['apartment', 'no laundry on site', 'off-street parking', 'rent period: monthly']"
1/10,"Bilingual Staff, Patio/Balconies, All New Energy Efficient A/C Units",https://houston.craigslist.org/apa/d/houston-bilingual-staff-patio-balconies/7574210729.html,"$1,212",2br,1076,"7000 Fonvilla St, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Home Office, Picnic Area and Grilling Area, Covered Mail Center",https://houston.craigslist.org/apa/d/houston-home-office-picnic-area-and/7567548397.html,$850,1br,640,"7511 Beechnut Street, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Community Clubhouse, Air Conditioning, Picnic Area and Grilling Area",https://houston.craigslist.org/apa/d/houston-community-clubhouse-air/7570034739.html,$905,1br,684,"6833 Beechnut Street, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Studio units available, No long term lease required, Bad Credit Ok",https://houston.craigslist.org/apa/d/houston-studio-units-available-no-long/7571356505.html,$278,1br,,,1,"['apartment', 'laundry on site', 'off-street parking', 'rent period: weekly']"
1/103br1062ft2,🏡 House For Lease In Harvest Bend houses 🏠,https://houston.craigslist.org/apa/d/houston-house-for-lease-in-harvest-bend/7576433335.html,,3br,1062,Houston,2,"['house', 'w/d in unit', 'attached garage', 'rent period: monthly']"
1/10,"Carpeted Bedrooms, Bilingual Staff, Linen Closet",https://houston.craigslist.org/apa/d/houston-carpeted-bedrooms-bilingual/7574851599.html,"$1,197",2br,1000,"6700 Chimney Rock Rd, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'off-street parking', 'rent period: monthly', 'wheelchair accessible']"
1/10,"A home with Character - Rentals in Houston. 2 Beds, 2 Baths",https://houston.craigslist.org/apa/d/houston-home-with-character-rentals-in/7577194204.html,"$1,700",2br,1046,,2,"['apartment', 'w/d hookups', 'street parking', 'rent period: monthly']"
1/10,"Hardwood Style Flooring, Non-Smoking Community, Swimming Pool",https://houston.craigslist.org/apa/d/houston-hardwood-style-flooring-non/7568006811.html,$867,2br,864,"8323 Cinnamon Ln, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Imagine what your friends would think! Rentals in Spring. 4 Beds, 3 Baths",https://houston.craigslist.org/apa/d/spring-imagine-what-your-friends-would/7577194309.html,"$3,250",4br,2880,,3.5,"['apartment', 'w/d hookups', 'attached garage', 'rent period: monthly']"
1/10,"New Year, New Home!",https://houston.craigslist.org/apa/d/baytown-new-year-new-home/7572351014.html,$999,2br,910,"1601 Garth Rd, Baytown, TX",1,"['apartment', 'w/d hookups', 'street parking', 'rent period: monthly']"
1/10,"It feels good to be home! Rentals in The Woodlands. 3 Beds, 2 Baths",https://houston.craigslist.org/apa/d/spring-it-feels-good-to-be-home-rentals/7577194809.html,"$3,100",3br,1651,,2.5,"['apartment', 'w/d hookups', 'attached garage', 'rent period: monthly']"
1/10,"On Site Maintenance, On Site Laundry Coming Soon! Smoke Free Building",https://houston.craigslist.org/apa/d/houston-on-site-maintenance-on-site/7575770915.html,$899,,637,"14703 Park Row, Houston, TX",1,"['apartment', 'no laundry on site', 'off-street parking', 'rent period: monthly']"
1/10,"Courtyard Views, Black appliances, Gated Community",https://houston.craigslist.org/apa/d/houston-courtyard-views-black/7572353297.html,"$1,080",2br,860,"7511 Beechnut Street, Houston, TX",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,"Black Appliance Packages Available, Clubhouse, Pet Friendly Community",https://houston.craigslist.org/apa/d/houston-black-appliance-packages/7572945979.html,"$1,288",2br,1075,"5810 Fondren Rd, Houston, TX",2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/10,★ HOUSE FOR LEASE | LUXMAXLeasing.com,https://houston.craigslist.org/apa/d/houston-house-for-lease-luxmaxleasingcom/7574385408.html,"$2,400",4br,2847,Energy Corridor | Briar Forest,2.5,"['air conditioning', 'application fee details: Hablo Espanol!  Llame Hoy!', 'broker fee details: Client to execute disclosures prior to setting appointment', 'cats are OK - purrr', 'dogs are OK - wooof', 'house', 'w/d in unit', 'listed by: Call LUXMAX Realty Group today!', 'no smoking', 'attached garage', 'rent period: monthly']"
1/10,House for Sale / House for rent,https://houston.craigslist.org/apa/d/humble-house-for-sale-house-for-rent/7577185836.html,"$1,800",3br,,,2,"['house', 'w/d in unit', 'attached garage', 'rent period: monthly']"
1/10,"Large Closets, Electric Range, Refrigerator",https://houston.craigslist.org/apa/d/katy-large-closets-electric-range/7567888999.html,"$1,332",1br,684,,1,"['apartment', 'w/d in unit', 'detached garage', 'rent period: monthly']"
1/10,"On-Site Maintenance, Elegant Crown Molding, Refrigerator",https://houston.craigslist.org/apa/d/houston-on-site-maintenance-elegant/7570056847.html,$810,1br,629,,1,"['apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
1/103br,House for Sale,https://houston.craigslist.org/apa/d/humble-house-for-sale/7577185529.html,,3br,,,2,"['house', 'w/d in unit', 'attached garage', 'rent period: monthly']"
1/10,★ HOUSE FOR LEASE | LUXMAXLeasing.com,https://houston.craigslist.org/apa/d/houston-house-for-lease-luxmaxleasingcom/7570058166.html,"$2,500",3br,1710,Spring Branch | Gessner | BW8,2,"['air conditioning', 'application fee details: Hablo Espanol!  Llame Hoy!', 'broker fee details: Client to execute disclosures prior to setting appointment', 'cats are OK - purrr', 'dogs are OK - wooof', 'house', 'w/d in unit', 'listed by: Call LUXMAX Realty Group today!', 'no smoking', 'attached garage', 'rent period: monthly']"
