date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
1/9,Studio in Burton Way - Granite Counters - Wood Inspired Floors - A/C,https://losangeles.craigslist.org/wst/apa/d/los-angeles-studio-in-burton-way/7576799296.html,"$1,950",,475,Next to Beverly Hills,1,"['air conditioning', 'cats are OK - purrr', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
1/9,"1/BD 1/BA, Private Patio, Playground, Three Sparkling Pools",https://losangeles.craigslist.org/sgv/apa/d/hacienda-heights-bd-ba-private-patio/7573336003.html,"$2,100",1br,720,"2401 S Hacienda Blvd, Hacienda Heights, CA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'carport', 'rent period: monthly']"
1/9,"Fitness Center, Air Conditioner, Dishwasher",https://losangeles.craigslist.org/lac/apa/d/los-angeles-fitness-center-air/7573407504.html,"$2,105",1br,687,central LA 213/323,1,"['apartment', 'w/d in unit', 'carport', 'rent period: monthly']"
1/9,Beautiful 1+1 in Downey * Covered Parking * Lots of Closet Space,https://losangeles.craigslist.org/lgb/apa/d/downey-beautiful-11-in-downey-covered/7576807808.html,"$1,850",1br,610,Downey,1,"['air conditioning', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
1/9,233 S Lafayette – Commuting is easy! Right on the bus line!,https://losangeles.craigslist.org/lac/apa/d/los-angeles-233-lafayette-commuting-is/7576811634.html,"$1,700",,370,Los Angeles,1,"['EV charging', 'air conditioning', 'application fee details: 53.00 Per Adult', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'detached garage', 'rent period: monthly', 'wheelchair accessible']"
1/9,Wonderful And Adorable Home For Rent,https://losangeles.craigslist.org/lgb/apa/d/long-beach-wonderful-and-adorable-home/7576811551.html,"$1,990",2br,1060,Long Beach,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'house', 'w/d hookups', 'attached garage', 'rent period: monthly']"
1/9,2 Bedroom 1 BA in Highland Park - W/D in Unit - Refrigerator,https://losangeles.craigslist.org/lac/apa/d/los-angeles-bedroom-ba-in-highland-park/7576797193.html,"$2,750",2br,950,central LA 213/323,1,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: monthly']"
1/9,"Mini Resort Feel, Close to Schools, Move in Specials",https://losangeles.craigslist.org/sfv/apa/d/sherman-oaks-mini-resort-feel-close-to/7575403538.html,"$2,125",,419,Sherman Oaks,1,"['air conditioning', 'application fee details: 50', 'broker fee details: 0', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'listed by: Cirrus Asset Management', 'off-street parking', 'rent period: monthly']"
1/9,"Powerball Carpeting, Breakfast Bar, Crown Molding",https://losangeles.craigslist.org/lac/apa/d/los-angeles-powerball-carpeting/7572052771.html,"$2,718",2br,943,"505 N. Figueroa St., Los Angeles, CA",2,"['apartment', 'w/d in unit', 'carport', 'rent period: monthly']"
1/9,"Controlled Access, Pet Friendly, Fireplace",https://losangeles.craigslist.org/wst/apa/d/culver-city-controlled-access-pet/7575388763.html,"$2,495",,625,"3767 Clarington Avenue, Los Angeles, CA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'detached garage', 'rent period: monthly', 'wheelchair accessible']"
1/9,"Pool, Volleyball Court, Microwave",https://losangeles.craigslist.org/ant/apa/d/lancaster-pool-volleyball-court/7568802684.html,"$1,635",2br,844,"43230 Gadsden Avenue, Lancaster, CA",1,"['apartment', 'laundry on site', 'carport', 'rent period: monthly']"
1/9,Come home to City Park View! 1 Bed / 1 Bath available!,https://losangeles.craigslist.org/lac/apa/d/los-angeles-come-home-to-city-park-view/7576811115.html,"$2,225",1br,819,Los Angeles,1,"['EV charging', 'air conditioning', 'application fee details: 53.00', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/9,BEAUTIFUL ONE BEDROOM,https://losangeles.craigslist.org/wst/apa/d/beverly-hills-beautiful-one-bedroom/7576810756.html,"$2,950",1br,750,BEVERLY HILLS,1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'carport', 'rent period: monthly']"
1/9,DUPLEX FOR RENT,https://losangeles.craigslist.org/lac/apa/d/los-angeles-duplex-for-rent/7576810706.html,"$2,395",1br,600,Silver Lake,1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'duplex', 'laundry on site', 'carport', 'rent period: monthly']"
1/9,"Beautiful 1 Bed / 1 Bath Layout, Tons of Light. Call for a Tour!",https://losangeles.craigslist.org/lac/apa/d/los-angeles-beautiful-bed-bath-layout/7576810644.html,"$2,225",1br,840,Los Angeles,1,"['EV charging', 'application fee details: 53.00', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/9,"Cozy 1 bedroom 1 bath / $1,000 OFF FOR THE FIRST MONTH",https://losangeles.craigslist.org/sgv/apa/d/pasadena-cozy-bedroom-bath-1000-off-for/7571331951.html,"$1,895",1br,420,Pasadena,1,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'street parking', 'rent period: monthly']"
1/9,"5 Bedrooms , 3 full baths, Beautiful home in a great Palmdale area",https://losangeles.craigslist.org/ant/apa/d/palmdale-bedrooms-full-baths-beautiful/7575299389.html,"$3,590",5br,2960,"37440 Kimberly Lane , Palmdale CA",3,"['cats are OK - purrr', 'dogs are OK - wooof', 'house', 'w/d hookups', 'attached garage', 'rent period: monthly']"
1/9,"2 Bedroom 2 Bath in Westwood / Near UCLA, Patio/Balcony, SS Appliances",https://losangeles.craigslist.org/wst/apa/d/los-angeles-bedroom-bath-in-westwood/7576804694.html,"$3,850",2br,908,Westwood / Near UCLA,2,"['EV charging', 'air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'off-street parking', 'rent period: monthly']"
1/9,Well-equipped kitchen! Dishwasher included! Hobart Apartments,https://losangeles.craigslist.org/lac/apa/d/los-angeles-well-equipped-kitchen/7576810057.html,"$1,875",1br,,Los Angeles - Hollywood,1,"['air conditioning', 'application fee details: $53', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'no smoking', 'street parking', 'rent period: monthly']"
