date,title,link,price,bedroom,sqft,neighborhood,bathroom,amenities
1/16,"Community Center, Close to Splash Down water park, Pet Friendly",https://spokane.craigslist.org/apa/d/spokane-community-center-close-to/7579186555.html,"$1,370",2br,931,Spokane Valley,2,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'no parking', 'rent period: monthly']"
1/16,"2️⃣😃2️⃣ 2ND FLOOR, FULLY UPGRADED 2X2 READY NOW!!! 2️⃣😃2️⃣",https://spokane.craigslist.org/apa/d/spokane-22-2nd-floor-fully-upgraded-2x2/7577755940.html,"$1,566",2br,1140,,2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'no parking', 'rent period: monthly', 'wheelchair accessible']"
1/16,"On-Site Maintenace, Accept cats, Vaulted ceilings (select homes)",https://spokane.craigslist.org/apa/d/greenacres-on-site-maintenace-accept/7579182243.html,"$2,095",3br,1498,,2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d hookups', 'attached garage', 'rent period: monthly']"
1/16,"Walk-In Closets*, Located on The Centennial Trail, Shimmering Pool",https://spokane.craigslist.org/apa/d/spokane-walk-in-closets-located-on-the/7579181655.html,"$1,534",2br,1027,,2,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'no parking', 'rent period: monthly']"
1/16,The 3-Bedroom You Have Been Waiting For 👀👀 Plus a detached Garage!,https://spokane.craigslist.org/apa/d/spokane-the-bedroom-you-have-been/7575302860.html,"$1,645",3br,1187,,2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'rent period: monthly']"
1/16,"✨✨ North Star Lodge ✨✨ 3 Bedroom, 2 Bathroom, Detached Garage",https://spokane.craigslist.org/apa/d/spokane-north-star-lodge-bedroom/7575629196.html,"$1,645",3br,1200,,2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'rent period: monthly']"
1/16,Modern Amenities. Urban Location. Sophisticated Style. Lease Today!,https://spokane.craigslist.org/apa/d/spokane-modern-amenities-urban-location/7575729381.html,"$1,645",3br,1200,,2,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'rent period: monthly']"
1/16,GET ONE MONTH FREE FOR RENT! TOUR TODAY,https://spokane.craigslist.org/apa/d/spokane-get-one-month-free-for-rent/7579173535.html,"$1,695",2br,1150,,2,"['apartment', 'w/d in unit', 'attached garage', 'rent period: monthly']"
1/16,"Fitness Center, Patio/Balcony, Refrigerator",https://spokane.craigslist.org/apa/d/veradale-fitness-center-patio-balcony/7579170829.html,"$1,150",0br,600,"16102 East Broadway Avenue, Spokane Valley, WA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'carport', 'rent period: monthly', 'wheelchair accessible']"
1/16,"Covered Parking, Window Coverings, Carport",https://spokane.craigslist.org/apa/d/veradale-covered-parking-window/7577733350.html,"$1,150",0br,600,"16102 East Broadway Avenue, Spokane Valley, WA",1,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'carport', 'rent period: monthly', 'wheelchair accessible']"
