date,title,link,price,brs,sqft,hood,bath,amenities
Oct  1,AMAZING TOP FLOOR NOE VALLEY 1 BED/1 BATH!!!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-amazing-top-floor-noe/7206523180.html,3250,1,,noe valley,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,NOB HILL LUXURY 800 BUSH 2BR!ROOF DECK!DAWN CUSULOS,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nob-hill-luxury-800-bush/7206502166.html,3350,2,,lower nob hill,1Ba,"['application fee details: 30.00', 'apartment', 'laundry in bldg']"
Oct  1,"Light Filled Condo in Landmark Mission Bldg, W/D In Unit, Hdwd Flrs",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-light-filled-condo-in/7206522947.html,3695,1,,mission district,1Ba,"['application fee details: $40.00 per applicant', 'cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'no smoking', 'street parking']"
Oct  1,MADRONE 2BD/2AB with charming patio,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-madrone-2bd-2ab-with/7199317999.html,4500,2,1200.0,SOMA / south beach,2Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,229 BRANNAN- South Beach- 2BD/2BA,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-229-brannan-south-beach/7191609671.html,6100,2,1520.0,SOMA / south beach,2Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,San Francisco Small Home with Huge Location,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-san-francisco-small-home/7202349706.html,2400,1,,russian hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'w/d in unit', 'street parking']"
Oct  1,"229 Brannan 1BD and 1.5BA South Beach, spacious and brights",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-229-brannan-1bd-and-15ba/7191609236.html,3595,1,840.0,SOMA / south beach,1.5Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,Available NOW - 1bd/1ba - Parking,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-available-now-1bd-1ba/7206522013.html,3050,1,,russian hill,1Ba,"['apartment', 'laundry in bldg', 'attached garage']"
Oct  1,Russian Hill / North Beach - Bright 3BR/1BA,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-russian-hill-north-beach/7198214304.html,4400,3,1100.0,russian hill,1Ba,"['apartment', 'w/d in unit', 'no smoking']"
Oct  1,Clean and Nice. Lower Pac. Heights. Hardwood. Washer/Dryer!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-clean-and-nice-lower-pac/7202400291.html,2300,1,,lower pac hts,1Ba,"['application fee details: $40 per person application and credit screening fee', 'apartment', 'w/d in unit', 'street parking']"
Oct  1,BEACON-Mission Bay 2BD LARGE balcony,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beacon-mission-bay-2bd/7191608421.html,4495,2,1201.0,SOMA / south beach,2Ba,"['condo', 'w/d in unit']"
Oct  1,2 Master Suites**Sutterfield**Washer/Dryer**Parking**Doorman**Gym**,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-master/7198625084.html,3900,2,1316.0,downtown / civic / van ness,2Ba,"['application fee details: $40 per person for application and credit check', 'condo', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,NOPA**Spacious 3 Bedroom**2 Bath**Hardwood**Stainless Steel**Laundry**,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nopaspacious-3-bedroom2/7196777995.html,4050,3,,alamo square / nopa,2Ba,"['application fee details: $40 per person fee for application and credit report', 'apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,Washer and Dryer! Hardwood***Spacious***Lower Pacific Heights***,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-washer-and-dryer/7196779165.html,2400,1,,lower pac hts,1Ba,"['application fee details: $40 application and credit report fee per person.', 'apartment', 'w/d in unit', 'no smoking', 'street parking']"
Oct  1,THE BEACON- Junior 1BD/1BA with VIEWS,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-the-beacon-junior-1bd-1ba/7191607540.html,2495,1,590.0,SOMA / south beach,1Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,Studio in Lovely Building in the Heart of Cole Valley,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-in-lovely-building/7192589001.html,2000,,,cole valley / ashbury hts,1Ba,"['application fee details: $40 for application and credit screening.', 'apartment', 'no smoking', 'street parking']"
Oct  1,"High-end spacious one bedroom with Views at 301 Mission,18D",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-high-end-spacious-one/7191607389.html,3695,,760.0,SOMA / south beach,,['condo']
Oct  1,Remodeled Kitchen. Washer/Dryer! Hardwood. Dishwasher.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-kitchen-washer/7202400636.html,2550,1,,lower pac hts,1Ba,"['application fee details: $40 per person for application fee and credit screening.', 'apartment', 'w/d in unit', 'street parking']"
Oct  1,*2 Bedroom/1 Bath in the Haight*Laundry*Hardwood**Natural Light. View*,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedroom-1-bath-in-the/7190411326.html,3200,2,,haight ashbury,1Ba,"['application fee details: $40 per person for credit screening and applicaiton.', 'apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,Newly Remodeled Cozy USF/Lone Mountain Studio Available Now,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-newly-remodeled-cozy-usf/7206521358.html,1750,1,350.0,USF / panhandle,1Ba,"['apartment', 'no laundry on site', 'street parking']"
Oct  1,Marina*Parking Included*Storage*Yard*Laundry*View*Office Area*Light***,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-marinaparking/7200319778.html,3195,1,,marina / cow hollow,1Ba,"['application fee details: $40 per person application and credit screening fee.', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,88 Townsend- spacious One bedroom,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-88-townsend-spacious-one/7191607292.html,3395,1,750.0,SOMA / south beach,1Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,Perfect Commuter Studio in the Heart of SF; Pet-friendly,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-perfect-commuter-studio/7206503371.html,1395,,,tenderloin,1Ba,"['application fee details: $42', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'no smoking', 'no parking']"
Oct  1,Beautiful 1bd/1ba w/LOTS of LIGHT - PARKING - Avail NOW,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-1bd-1ba-lots-of/7206523372.html,3050,1,,russian hill,1Ba,"['apartment', 'laundry in bldg', 'attached garage']"
Oct  1,The Best rate going Fast! plus 2 months FREE!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-the-best-rate-going-fast/7206521781.html,2399,1,673.0,hayes valley,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,AMAZING TOP FLOOR NOE VALLEY 1 BED/1 BATH!!!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-amazing-top-floor-noe/7206523180.html,3250,1,,noe valley,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,NOB HILL LUXURY 800 BUSH 2BR!ROOF DECK!DAWN CUSULOS,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nob-hill-luxury-800-bush/7206502166.html,3350,2,,lower nob hill,1Ba,"['application fee details: 30.00', 'apartment', 'laundry in bldg']"
Oct  1,"Light Filled Condo in Landmark Mission Bldg, W/D In Unit, Hdwd Flrs",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-light-filled-condo-in/7206522947.html,3695,1,,mission district,1Ba,"['application fee details: $40.00 per applicant', 'cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'no smoking', 'street parking']"
Oct  1,MADRONE 2BD/2AB with charming patio,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-madrone-2bd-2ab-with/7199317999.html,4500,2,1200.0,SOMA / south beach,2Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,229 BRANNAN- South Beach- 2BD/2BA,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-229-brannan-south-beach/7191609671.html,6100,2,1520.0,SOMA / south beach,2Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,San Francisco Small Home with Huge Location,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-san-francisco-small-home/7202349706.html,2400,1,,russian hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'w/d in unit', 'street parking']"
Oct  1,"229 Brannan 1BD and 1.5BA South Beach, spacious and brights",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-229-brannan-1bd-and-15ba/7191609236.html,3595,1,840.0,SOMA / south beach,1.5Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,Available NOW - 1bd/1ba - Parking,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-available-now-1bd-1ba/7206522013.html,3050,1,,russian hill,1Ba,"['apartment', 'laundry in bldg', 'attached garage']"
Oct  1,Russian Hill / North Beach - Bright 3BR/1BA,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-russian-hill-north-beach/7198214304.html,4400,3,1100.0,russian hill,1Ba,"['apartment', 'w/d in unit', 'no smoking']"
Oct  1,Clean and Nice. Lower Pac. Heights. Hardwood. Washer/Dryer!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-clean-and-nice-lower-pac/7202400291.html,2300,1,,lower pac hts,1Ba,"['application fee details: $40 per person application and credit screening fee', 'apartment', 'w/d in unit', 'street parking']"
Oct  1,BEACON-Mission Bay 2BD LARGE balcony,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beacon-mission-bay-2bd/7191608421.html,4495,2,1201.0,SOMA / south beach,2Ba,"['condo', 'w/d in unit']"
Oct  1,2 Master Suites**Sutterfield**Washer/Dryer**Parking**Doorman**Gym**,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-master/7198625084.html,3900,2,1316.0,downtown / civic / van ness,2Ba,"['application fee details: $40 per person for application and credit check', 'condo', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,NOPA**Spacious 3 Bedroom**2 Bath**Hardwood**Stainless Steel**Laundry**,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nopaspacious-3-bedroom2/7196777995.html,4050,3,,alamo square / nopa,2Ba,"['application fee details: $40 per person fee for application and credit report', 'apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,Washer and Dryer! Hardwood***Spacious***Lower Pacific Heights***,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-washer-and-dryer/7196779165.html,2400,1,,lower pac hts,1Ba,"['application fee details: $40 application and credit report fee per person.', 'apartment', 'w/d in unit', 'no smoking', 'street parking']"
Oct  1,THE BEACON- Junior 1BD/1BA with VIEWS,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-the-beacon-junior-1bd-1ba/7191607540.html,2495,1,590.0,SOMA / south beach,1Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,Studio in Lovely Building in the Heart of Cole Valley,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-in-lovely-building/7192589001.html,2000,,,cole valley / ashbury hts,1Ba,"['application fee details: $40 for application and credit screening.', 'apartment', 'no smoking', 'street parking']"
Oct  1,"High-end spacious one bedroom with Views at 301 Mission,18D",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-high-end-spacious-one/7191607389.html,3695,,760.0,SOMA / south beach,,['condo']
Oct  1,Remodeled Kitchen. Washer/Dryer! Hardwood. Dishwasher.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-kitchen-washer/7202400636.html,2550,1,,lower pac hts,1Ba,"['application fee details: $40 per person for application fee and credit screening.', 'apartment', 'w/d in unit', 'street parking']"
Oct  1,*2 Bedroom/1 Bath in the Haight*Laundry*Hardwood**Natural Light. View*,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedroom-1-bath-in-the/7190411326.html,3200,2,,haight ashbury,1Ba,"['application fee details: $40 per person for credit screening and applicaiton.', 'apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,Newly Remodeled Cozy USF/Lone Mountain Studio Available Now,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-newly-remodeled-cozy-usf/7206521358.html,1750,1,350.0,USF / panhandle,1Ba,"['apartment', 'no laundry on site', 'street parking']"
Oct  1,Marina*Parking Included*Storage*Yard*Laundry*View*Office Area*Light***,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-marinaparking/7200319778.html,3195,1,,marina / cow hollow,1Ba,"['application fee details: $40 per person application and credit screening fee.', 'apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,88 Townsend- spacious One bedroom,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-88-townsend-spacious-one/7191607292.html,3395,1,750.0,SOMA / south beach,1Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,Clean and Nice 2 Bedroom/1 Bath in the Haight. Laundry. Hardwood,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-clean-and-nice-2-bedroom/7198651524.html,3050,2,,haight ashbury,1Ba,"['application fee details: $40 per person for application and credit report.', 'apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,219 BRANNAN 16J- 2BD/2BA with Water views and air conditioning,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-219-brannan-16j-2bd-2ba/7191607136.html,5595,2,1150.0,SOMA / south beach,2Ba,"['condo', 'w/d in unit', 'attached garage']"
Oct  1,Marina**Storage*Yard*Laundry*View*Office Area*Light*Parking Available*,https://sfbay.craigslist.org/sfc/apa/d/san-francisco/7200342685.html,2895,1,,marina / cow hollow,1Ba,"['application fee details: $40 application fee per person.', 'apartment', 'laundry in bldg', 'no smoking']"
Oct  1,"2 Bedroom, 1 Bath in the Heart of the Mission",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedroom-1-bath-in-the/7204755481.html,2800,2,,mission district,1Ba,"['application fee details: $40 per person application and credit screening fee', 'apartment', 'w/d in unit', 'no smoking', 'street parking']"
Oct  1,2BR / Updated Kitchen & Bath / 6 Weeks Rent Credit! / RentingSF<,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2br-updated-kitchen-bath/7206507466.html,2700,2,,SOMA / south beach,1Ba,"['application fee details: $30', 'broker fee details: No fee', 'apartment', 'laundry in bldg', 'listed by: RentingSF', 'no smoking']"
Oct  1,"Furnished, Ideal Hayes Valley Studio w/ Rooftop, W/D, by BART (111)",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-ideal-hayes/7206520992.html,2390,,4600.0,Hayes Valley,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'w/d in unit', 'no smoking']"
Oct  1,Amazing Italianate Victorian House,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-amazing-italianate/7206520980.html,5495,4,,alamo square / nopa,1.5Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'house', 'laundry on site', 'no smoking']"
Oct  1,Top Floor Studio Remodeled / Pets OK / WD in Unit / 952 Sutter #600,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-studio/7206508503.html,2395,,,lower nob hill,1Ba,"['application fee details: $30', 'broker fee details: No fee', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'listed by: RentingSF', 'no smoking']"
Oct  1,"GORGEOUS, MUST SEE COW HOLLOW 1 BD/1 BATH!!!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-must-see-cow/7206520792.html,2750,1,,marina / cow hollow,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,"10, 000 Spoons when all you need is a knife?",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spoons-when-all-you-need/7206516011.html,1600,1,,castro / upper market,sharedBa,"['apartment', 'no laundry on site', 'street parking']"
Oct  1,Remodeled 2BR/1BA in Beautiful Hayes Valley; W/D in Unit; Pets OK,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-2br-1ba-in/7206519815.html,3495,2,,hayes valley,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']"
Oct  1,Beautiful 1b/1ba apt with views,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-1b-1ba-apt-with/7204859189.html,1800,1,450.0,ingleside / SFSU / CCSF,1Ba,"['apartment', 'no laundry on site', 'no smoking', 'off-street parking']"
Oct  1,"LARGE One Bedroom w/HARDWOOD Floors, Lots of LIGHT - PARKING",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-one-bedroom/7206519407.html,3095,1,,pacific heights,1Ba,"['apartment', 'laundry in bldg', 'attached garage']"
Oct  1,"1st Floor 2BD/2BA Luxury Home w/Private Entrance, ASK FOR SPECIAL!!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1st-floor-2bd-2ba-luxury/7206519367.html,2768,2,,hayes valley,2Ba,"['application fee details: $40', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,2 Months Free Rent;Bright 1b/1ba steps from Castro & Market,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-months-free-rentbright/7206518916.html,2750,1,,castro / upper market,1Ba,"['application fee details: $35 application fee for credit/background check', 'apartment', 'laundry on site', 'no parking']"
Oct  1,"BEAUTIFUL LARGE 1bd/1ba w/NEW Flooring, S/S Appliances - Parking",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-large-1bd-1ba/7206518902.html,2795,1,,downtown / civic / van ness,1Ba,"['apartment', 'laundry in bldg', 'attached garage']"
Oct  1,"2 bedroom, 1 bath in Outer Mission for rent",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bedroom-1-bath-in-outer/7206493204.html,2500,2,900.0,excelsior / outer mission,1Ba,"['in-law', 'laundry on site', 'no smoking', 'street parking']"
Oct  1,"GORGEOUS, MUST-SEE TOP FLOOR COW HOLLOW 1 BED/1 BATH!!!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-must-see-top/7206518705.html,2850,1,,marina / cow hollow,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,"Mission & 15th Beautiful 2BR/1BA top floor, in-unit W/D",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-mission-15th-beautiful/7206514367.html,3600,2,630.0,mission district,1Ba,"['apartment', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,Light-filled 2bd at Stage1075 – Pkg  Amenities| Elite Leasing,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-light-filled-2bd-at/7206518139.html,4150,2,844.0,SOMA / south beach,2Ba,"['application fee details: $40.00 per applicant', 'condo', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,"2 Months Free Rent! Sunny, quiet downtown studio available now!!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-months-free-rent-sunny/7206518065.html,1595,,,downtown / civic / van ness,1Ba,"['application fee details: $35 application fee for credit/background check and processing', 'apartment', 'no laundry on site', 'no parking']"
Oct  1,Awesome Brand New 1 bedroom 1 Bath Heart of Presido Heights,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-awesome-brand-new-1/7204733783.html,2200,1,500.0,laurel hts / presidio,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'street parking']"
Oct  1,Spacious Top Flr  1 BDR/ 1 BA Apt w/ Hardwood Flrs www.RentalsInSF.com,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-top-flr-1-bdr-1/7206508274.html,2495,1,,richmond / seacliff,1Ba,"['apartment', 'no laundry on site', 'no smoking', 'no parking']"
Oct  1,Excelente oportunidad Centrico SF,https://sfbay.craigslist.org/sfc/apa/d/excelente-oportunidad-centrico-sf/7206512351.html,1000,1,,north beach / telegraph hill,sharedBa,"['furnished', 'apartment', 'laundry in bldg', 'no smoking', 'no parking']"
Oct  1,"Grand Mansion in Cole Valley, Private Yard, 2 Car Pkg! | Elite Leasing",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-grand-mansion-in-cole/7206516665.html,17000,5,,inner sunset / UCSF,5.5Ba,"['application fee details: $40.00 per applicant', 'cats are OK - purrr', 'dogs are OK - wooof', 'house', 'w/d in unit', 'no smoking', 'detached garage']"
Oct  1,"Grand Mansion in Cole Valley, Private Yard, 2 Car Pkg! | Elite Leasing",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-grand-mansion-in-cole/7206515412.html,17000,5,,cole valley / ashbury hts,5.5Ba,"['application fee details: $40.00 per applicant', 'cats are OK - purrr', 'dogs are OK - wooof', 'house', 'w/d in unit', 'no smoking', 'detached garage']"
Oct  1,Time For Your Own Place? 1 Bedroom Homes With 12 Weeks Free!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-time-for-your-own-place-1/7206516616.html,2786,1,425.0,mission district,1Ba,['apartment']
Oct  1,INCREDIBLE TOP FLOOR 1 BEDROOM WITH UPDATED KITCHEN!!!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-incredible-top-floor-1/7206516300.html,2850,1,,marina / cow hollow,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,"6th Floor 1BR 1BA Hillside View, 4 weeks Free! Call for Details!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-6th-floor-1br-1ba/7206516233.html,2404,1,1032.0,Bayview,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,"4 weeks free! large Live/ Work loft living space and master suite, PKG",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-4-weeks-free-large-live/7193322931.html,4700,2,1750.0,SOMA / south beach,2Ba,"['application fee details: $45.00 per app (per person)', 'apartment', 'w/d in unit', 'attached garage']"
Oct  1,Gorgeous + RENOVATED 1 Bedroom! SUN FILLED. Call Now.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-renovated-1/7206509684.html,2495,1,,nob hill,1Ba,"['application fee details: $40 per application for credit check / processing', 'apartment', 'laundry on site', 'no smoking', 'no parking']"
Oct  1,Beautiful Studio unit,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-studio-unit/7198801133.html,2300,,483.0,potrero hill,1Ba,"['application fee details: $45.00 per app (per person)', 'apartment', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,Beautiful Studio unit,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-studio-unit/7198800636.html,2300,,483.0,potrero hill,1Ba,"['application fee details: $45.00 per app (per person)', 'apartment', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,"NEW LISTING! 1BR, IN 4PLEX,NEW HDWD+ MANY NEW FEATURES!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-new-listing-1br-in/7200193606.html,2195,1,,inner richmond,1Ba,"['EV charging', 'apartment', 'laundry on site', 'no smoking', 'street parking']"
Oct  1,"WOW!AMAZING PRICE! BRAND NEW STUDIO ACROSS THE STREET,ALAMO SQ + NOPA!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-wowamazing-price-brand/7205248507.html,1850,,,alamo square / nopa,1Ba,"['apartment', 'no smoking']"
Oct  1,"1 MO. FREE! 2BR/1BA, NEW FEATURES,ACROSS ALAMO SQUARE,",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-mo-free-2br-1ba-new/7205250565.html,3200,2,,alamo square / nopa,1Ba,"['apartment', 'no laundry on site', 'no smoking', 'street parking']"
Oct  1,Updated 2 BR x 2 Bath with a private deck and laundry in unit.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-2-br-2-bath-with/7206512479.html,3895,2,,downtown / civic / van ness,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,1st Floor Large 1 Bedroom Apartment by Golden Gate Park,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1st-floor-large-1-bedroom/7192340101.html,2700,1,,inner sunset / UCSF,1Ba,"['apartment', 'laundry in bldg', 'no smoking']"
Oct  1,Dolores Park Studio Apartment,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-dolores-park-studio/7194441186.html,2200,,,castro / upper market,1Ba,"['apartment', 'laundry in bldg', 'no smoking']"
Oct  1,**8 Weeks Free** Studio Apartment at 923 Folsom,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-8-weeks-free-studio/7198586303.html,2705,,509.0,SOMA / south beach,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,Totally Remodeled / Laundry n Unit / 30 Highland Avenue / RentingSF,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-totally-remodeled-laundry/7206507640.html,4195,2,,bernal heights,2Ba,"['broker fee details: No fee', 'apartment', 'w/d in unit', 'listed by: RentingSF', 'no smoking', 'attached garage']"
Oct  1,Beautiful furnished 1 BR/1BA in Pac Heights,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-furnished-1-br/7206515168.html,3995,1,850.0,pacific heights,1Ba,"['apartment', 'laundry in bldg', 'street parking']"
Oct  1,Studio near UCSF on Hugo St.,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-near-ucsf-on-hugo/7188826956.html,2100,,,inner sunset / UCSF,1Ba,"['apartment', 'laundry in bldg', 'no smoking']"
Oct  1,Dolores Heights Studio Apartment!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-dolores-heights-studio/7198199867.html,2300,,,castro / upper market,1Ba,"['apartment', 'laundry in bldg', 'no smoking']"
Oct  1,7th FL. Corner Apartment w/ Mountainside & Partial Bay View!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-7th-fl-corner-apartment/7206515081.html,3807,2,1592.0,bayview,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'wheelchair accessible']"
Oct  1,"Quiet Top floor 2 Bd. Apt; in the Inner Sunset, near Golden Gate Park!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-quiet-top-floor-2-bd-apt/7196304230.html,3400,2,,inner sunset / UCSF,1Ba,"['apartment', 'laundry in bldg', 'no smoking']"
Oct  1,Top Floor Studio with Hardwood Floors near Kezar and Golden Gate Park,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-studio-with/7196275329.html,2100,,,inner sunset / UCSF,1Ba,"['apartment', 'laundry in bldg', 'no smoking']"
Oct  1,Second Floor Studio Apartment!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-second-floor-studio/7196630587.html,2300,,,marina / cow hollow,,"['apartment', 'laundry in bldg', 'no smoking']"
Oct  1,Ashton SF Awaits You! Spacious One Bedrooms!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-ashton-sf-awaits-you/7206514835.html,2427,1,1133.0,Bayview,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'wheelchair accessible']"
