date,title,link,price,brs,sqft,hood,bath,amenities
Oct  1,"Furnished or Unfurnished, Remodeled Junior 1 bedroom/Free Rent Credit!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-or-unfurnished/7206618236.html,2445,1,,mission district,1Ba,"['application fee details: $30 application fee per applicant for credit check', 'cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,Beautiful 2BR/1BA with Remodeled Kitchen; 2 Months Free; Pet Friendly,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-2br-1ba-with/7206617609.html,2895,2,,lower nob hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking']"
Oct  1,Rare European Style Art Deco Apartment,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-rare-european-style-art/7206617524.html,2250,1,,mission district,1Ba,"['apartment', 'no laundry on site', 'no parking']"
Oct  1,$1500 / 4br - Marina/Cow Hollow 1 BR available Nov 1,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-br-marina-cow-hollow-1-br/7206598029.html,1500,4,,marina / cow hollow,2.5Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking']"
Oct  1,"2Bed 1Bath lower unit in a small, quiet complex",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2bed-1bath-lower-unit-in/7206617285.html,3100,2,1000.0,inner sunset / UCSF,1Ba,"['application fee details: $30 application fee, credit check and processing', 'apartment', 'no laundry on site', 'no smoking', 'carport']"
Oct  1,Great 2 Bedroom to Make Your Own. Now with 12 Weeks Free!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-2-bedroom-to-make/7206617125.html,4295,2,940.0,hayes valley,2Ba,"['EV charging', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage', 'wheelchair accessible']"
Oct  1,Spacious 1 Bed + Den for Home Office!|Up to 10 Weeks Free!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-1-bed-den-for/7203046041.html,4066,1,768.0,potrero hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,CONVENIENTLY LOCATED 1 BR IN-LAW UNIT,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-conveniently-located-1-br/7206612258.html,1600,1,,sunset / parkside,1Ba,"['in-law', 'no smoking']"
Oct  1,"Top Floor 3 Bedroom, 2.5 Bath Condo with 2 Decks & Views of Sutro Towe",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-3-bedroom-25/7206616649.html,4600,3,1750.0,western addition,2.5Ba,"['condo', 'attached garage']"
Oct  1,Cozy Edwardian Apartment - 2 Bedroom (RH),https://sfbay.craigslist.org/sfc/apa/d/san-francisco-cozy-edwardian-apartment/7194887293.html,2395,,,russian hill,2.5Ba,['apartment']
Oct  1,"One Bedroom Marina Condo with Hardwood Floors, Parking, Storage",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-one-bedroom-marina-condo/7192276171.html,3995,1,800.0,marina / cow hollow,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'condo', 'laundry in bldg', 'no smoking', 'attached garage']"
Oct  1,"Fifth-floor studio in Theater District, PREVIEW",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fifth-floor-studio-in/7206615888.html,1600,,410.0,lower nob hill,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,Newly Remodeled 3BR/2BA in Pacific Heights; W/D in Unit; Pets OK,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-newly-remodeled-3br-2ba/7206612387.html,5195,3,,Pacific Heights,2Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking']"
Oct  1,"Second-floor studio, preview for October move-in RENT REDUCED",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-second-floor-studio/7202953088.html,1800,,440.0,lower nob hill,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,First-floor one-bedroom in Theater District,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-first-floor-one-bedroom/7203834910.html,1950,1,500.0,lower nob hill,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,"Apartment, 1 Bedroom, 1 Bath",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-apartment-1-bedroom-1-bath/7206582919.html,3200,1,,potrero hill,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'furnished', 'apartment', 'w/d in unit', 'street parking']"
Oct  1,Apply today to get 2 months Free Rent in Inner Sunset,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-apply-today-to-get-2/7206612941.html,2875,1,633.0,inner sunset / UCSF,1Ba,"['application fee details: 49', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no smoking', 'carport']"
Oct  1,"Renovated and Bright Apt. next to Dolores Park, 2 Months Free",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-renovated-and-bright-apt/7206612400.html,3095,1,,mission district,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']"
Oct  1,1842 38th Ave - Entirely remodeled 2BR/2BA,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-th-ave-entirely-remodeled/7206612364.html,4499,2,1200.0,sunset / parkside,2Ba,"['house', 'w/d in unit', 'attached garage']"
Oct  1,1BD/1Bath - California & Larkin - Pets Welcome!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1bd-1bath-california/7200175190.html,2100,,,russian hill,2Ba,['apartment']
Oct  1,Modern 3BD/2BA Mission Apartment. 1 Month FREE!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-modern-3bd-2ba-mission/7206612276.html,3695,3,,mission district,2Ba,"['application fee details: $30 application fee', 'apartment', 'w/d in unit', 'no smoking', 'no parking']"
Oct  1,"Quiet, Remodeled 1 Bedroom Apartment off California and Hyde",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-quiet-remodeled-1-bedroom/7197456326.html,2100,,,russian hill,2Ba,['apartment']
Oct  1,1 Bed/Bath 44th LaPlaya/Clement +Parking + Laundry,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-bed-bath-44th-laplaya/7206611851.html,2250,1,,richmond / seacliff,1Ba,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'off-street parking']"
Oct  1,"Furnished CENTRAL GARDEN APT. PVT DECK, VIEWS, 94 WALKSCORE!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-central-garden/7203461074.html,2295,,,alamo square / nopa,1Ba,"['furnished', 'apartment', 'w/d hookups', 'no smoking', 'street parking']"
Oct  1,3 Bedroom With a Great View in North Beach,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3-bedroom-with-great-view/7206610468.html,4250,3,,north beach / telegraph hill,1Ba,"['apartment', 'laundry in bldg', 'no smoking', 'street parking']"
Oct  1,Rent-controlled sunny 2BR/1BA apartment mins walk Trader Joes/Target,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-rent-controlled-sunny-2br/7206605288.html,2600,2,860.0,alamo square / nopa,1Ba,"['dogs are OK - wooof', 'apartment', 'laundry in bldg', 'off-street parking']"
Oct  1,Work from home in Downtown SF,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-work-from-home-in/7202336021.html,2549,1,875.0,downtown / civic / van ness,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit']"
Oct  1,2 Bed / 2 Bath in Pac Heights and FREE parking!!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-bed-2-bath-in-pac/7206610137.html,3590,2,885.0,pacific heights,2Ba,"['apartment', 'laundry on site', 'no smoking', 'attached garage']"
Oct  1,VIDEO TOUR! 1 Bed/ 1 Bath garden patio residence at Villa North Beach!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-video-tour-1-bed-1-bath/7205299188.html,3395,1,684.0,north beach / telegraph hill,1Ba,"['application fee details: 39.95 credit check, background, processing, etc. per person', 'condo', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,VIDEO TOUR! 2 bed/1 bath garden apt w/private patio in Bernal Heights!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-video-tour-2-bed-1-bath/7205402041.html,2595,2,900.0,bernal heights,1Ba,"['application fee details: 39.95 credit check, background, processing, etc. per person', 'apartment', 'laundry on site', 'no smoking', 'street parking']"
Oct  1,"VIDEO TOUR! Stunning 2 bed, 2 bath condo@ BLU...ready now!",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-video-tour-stunning-2-bed/7205415651.html,3995,2,1190.0,SOMA / south beach,2Ba,"['application fee details: 39.95 credit check, background, processing, etc. per person', 'condo', 'w/d in unit', 'no smoking', 'attached garage']"
Oct  1,"LG STU; View; TOP Floor; OFF-street, granite, dwshr; stainless appl",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lg-stu-view-top-floor-off/7198666488.html,1795,,,lower nob hill,1Ba,"['apartment', 'laundry on site', 'no smoking', 'no parking']"
Oct  1,"LARGE, Sunny, 1 Bed: Eat-in kit, Dshwshr, Hrdwd, Granite, 2walk-ins",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-sunny-1-bed-eat-in/7198669443.html,2495,1,,San Francisco,1Ba,"['cats are OK - purrr', 'apartment', 'laundry in bldg', 'no smoking', 'no parking']"
Oct  1,"LG Remod 1 Bed, Sun, Quartz, Hrdwd, Dshwshr, 2+ closets",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lg-remod-1-bed-sun-quartz/7198667188.html,2195,1,,San Francisco,1Ba,"['cats are OK - purrr', 'apartment', 'laundry on site', 'no smoking', 'street parking']"
Oct  1,"LG Remodeled Studio TOP Floor; Granite, Hrdwd, Dishwshr, Murphy Bed",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-lg-remodeled-studio-top/7198668794.html,1795,,,San Francisco,1Ba,"['cats are OK - purrr', 'apartment', 'laundry on site', 'no smoking', 'street parking']"
Oct  1,BIG PATIO on LARGE 1Bed!! Pet Friendly! Parking On-Site & MORE #146!!!,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-big-patio-on-large-1bed/7206595864.html,3525,1,805.0,hayes valley,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage', 'wheelchair accessible']"
Oct  1,WOW! Prices You Can't Beat! Fall Savings Are In Full Effect! Come Tour,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-wow-prices-you-cant-beat/7206609316.html,2446,,476.0,inner sunset / UCSF,1Ba,"['application fee details: 48', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'carport']"
Oct  1,2 MONTHS FREE - Newly Remodeled 1BR/1BA - Pet Friendly,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2-months-free-newly/7206609071.html,2895,,,hayes valley,1Ba,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking']"
