price,bedroom,sqft,neighborhood,bathroom,amenity_count,cityID
2600,0,475.0,SOMA / south beach,1,8,2
2125,1,650.0,alamo square / nopa,1,7,2
5900,3,1872.0,SOMA / south beach,3,9,2
4845,3,1265.0,noe valley,2,6,2
3535,1,790.0,SOMA / south beach,1,6,2
2997,1,614.0,SOMA / south beach,1,9,2
2349,0,510.0,sunset / parkside,1,5,2
3150,2,600.0,SOMA / south beach,1,8,2
3470,1,502.0,financial district,1,7,2
3055,1,757.0,SOMA / south beach,1,3,2
3675,1,677.0,potrero hill,1,7,2
2795,1,411.0,SOMA / south beach,1,7,2
3942,2,898.0,potrero hill,2,9,2
4775,2,1001.0,hayes valley,2,7,2
3771,1,810.0,SOMA / south beach,1,7,2
4496,2,850.0,mission district,2,8,2
2600,0,475.0,SOMA / south beach,1,8,2
2789,0,429.0,downtown / civic / van ness,1,3,2
2200,2,650.0,SOMA / south beach,1,7,2
2927,0,410.0,downtown / civic / van ness,1,6,2
4200,3,1000.0,SOMA / south beach,2,8,2
7500,3,2000.0,marina / cow hollow,1.5,4,2
3829,1,727.0,financial district,1,3,2
1800,1,500.0,sunset / parkside,1,3,2
3995,3,792.0,SOMA / south beach,2,7,2
4500,2,1052.0,lower nob hill,2,7,2
2045,0,350.0,SOMA / south beach,1,5,2
3304,1,665.0,inner sunset / UCSF,1,8,2
3200,1,829.0,cole valley / ashbury hts,1,7,2
2950,1,728.0,San Francisco,1,7,2
3561,1,825.0,potrero hill,1,8,2
3695,1,500.0,hayes valley,1,9,2
4890,4,1150.0,haight ashbury,1,6,2
3990,3,1150.0,inner richmond,2,4,2
20000,0,8000.0,financial district,split,5,2
2350,1,464.0,mission district,1,5,2
3114,1,598.0,hayes valley,1,7,2
5031,3,1125.0,downtown / civic / van ness,2,6,2
5325,2,947.0,hayes valley,2,9,2
5160,2,904.0,SOMA / south beach,2,9,2
6035,2,1673.0,SOMA / south beach,2.5,7,2
2550,0,500.0,marina / cow hollow,1,5,2
4250,3,850.0,excelsior / outer mission,1,5,2
3895,1,699.0,downtown / civic / van ness,1,5,2
2600,2,1000.0,richmond / seacliff,1,4,2
2800,0,467.0,hayes valley,1,6,2
5900,2,1080.0,nob hill,2,5,2
4087,1,808.0,SOMA / south beach,1,7,2
3493,1,724.0,potrero hill,1,8,2
3145,0,450.0,nob hill,1,6,2
2500,0,726.0,financial district,split,5,2
4950,2,1092.0,mission district,2,7,2
1500,0,251.0,financial district,1,5,2
5113,3,1125.0,downtown / civic / van ness,2,6,2
3218,1,550.0,nob hill,1,6,2
5566,2,1186.0,Dogpatch,2.5,8,2
2300,1,510.0,western addition,1,5,2
6060,3,1445.0,Dogpatch,2.5,8,2
6400,2,2100.0,downtown / civic / van ness,2,4,2
2650,1,499.0,nob hill,1,6,2
2945,2,1000.0,alamo square / nopa,1.5,6,2
2300,0,300.0,nob hill,1,6,2
2330,0,478.0,tenderloin,1,8,2
2800,1,856.0,inner sunset / UCSF,1,4,2
3344,2,786.0,tenderloin,2,8,2
4195,3,1380.0,city of san francisco,2,8,2
2652,1,526.0,tenderloin,1,8,2
3500,3,1300.0,mission district,1,4,2
5560,2,1224.0,SOMA / south beach,2,7,2
6117,3,1125.0,downtown / civic / van ness,2,6,2
2295,1,700.0,richmond / seacliff,1,3,2
2800,1,600.0,richmond / seacliff,1,7,2
6400,2,1512.0,SOMA / south beach,2,6,2
3445,1,620.0,financial district,1,7,2
5088,2,1286.0,SOMA / south beach,2,7,2
4874,2,1334.0,SOMA / south beach,2,8,2
4087,1,808.0,SOMA / south beach,1,7,2
5521,2,752.0,hayes valley,1,8,2
3220,1,660.0,SOMA / south beach,1,7,2
4300,2,1400.0,bernal heights,2,7,2
2025,0,300.0,SOMA / south beach,1,3,2
