price,bedroom,sqft,neighborhood,bathroom,amenity_count,cityID
4450,4,1900.0,1 or 2 month+,2,7,1
1430,2,750.0,"South Central near SOCO, Lady Bird",1,5,1
1575,2,900.0,Travis Heights 1 exit downtown,2,6,1
1345,0,400.0,Walk to Lady Bird Lake and Zilker Park,1,6,1
1100,3,1429.0,Austin,2,3,1
1124,1,351.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
1670,1,705.0,East Austin Govalle,1,9,1
1447,1,752.0,South Austin Onion Creek Southpark Meadows,1,9,1
1699,1,840.0,Oak Hill Sunset Valley Southwest Austin Bee Cave,1,9,1
1540,1,680.0,East Riverside Riverside Pleasant Valley,1,9,1
1795,1,870.0,Oak Hill Sunset Valley Southwest Austin Bee Cave,1,9,1
1295,1,692.0,La Frontera Round Rock,1,5,1
2425,2,1215.0,Sunset Valley South Austin Oak Hill South Lamar,2,9,1
1347,1,642.0,South Austin Onion Creek Southpark Meadows,1,9,1
1855,1,695.0,Clarksville Downtown,1,9,1
1144,1,351.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
1070,0,275.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
1548,3,1145.0,Kyle,2,5,1
1740,1,740.0,Govalle East Austin Airport Central East MLK,1,9,1
1475,1,740.0,North Lamar North Central,1,8,1
1525,1,640.0,East Riverside Riverside Pleasant Valley,1,8,1
1070,0,275.0,"8300 North Interstate Highway 35, Austin, TX",1,8,1
1380,2,882.0,"8617 Spicewood Springs Rd, Austin, TX",1,8,1
1775,4,1236.0,"2500 Louis Henna Boulevard, Round Rock, TX",2,8,1
1256,1,660.0,Hyde Park,1,6,1
2420,3,1147.0,Austin,2,5,1
1460,2,1000.0,Round Rock,2,6,1
2074,3,1440.0,Linea Stillwater,2,7,1
1165,1,600.0,Hyde Park,1,6,1
1495,2,1025.0,AUSTIN,2,7,1
1495,2,1025.0,AUSTIN,2,7,1
1495,2,1025.0,AUSTIN,2,7,1
1495,2,1025.0,AUSTIN,2,7,1
1515,2,1025.0,AUSTIN,2,7,1
1515,2,1025.0,AUSTIN,2,7,1
1421,2,900.0,South Austin,1,8,1
1421,2,900.0,South Austin,1,8,1
974,0,288.0,"9220 N Interstate Hwy 35, Austin, TX",1,3,1
1429,0,492.0,South,1,6,1
1040,0,222.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
1791,1,725.0,South Austin,1,6,1
1431,0,497.0,Waterloo,1,6,1
2237,2,1085.0,South Austin,2,6,1
1793,1,728.0,South,1,6,1
2175,3,1300.0,south east Austin,2,7,1
3314,2,1097.0,Austin,2,8,1
1432,0,494.0,Manchaca,1,6,1
1790,1,727.0,South Austin,1,6,1
1144,1,351.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
1210,1,512.0,Austin,1,8,1
1150,1,512.0,Austin,1,8,1
2849,4,1882.0,Pflugerville,2.5,6,1
2299,3,1529.0,Georgetown,2.5,6,1
2470,2,1238.0,North ATX,2,6,1
1195,1,675.0,Austin,1,8,1
1370,1,722.0,"Kyle, Texas",1,7,1
2478,2,1231.0,North Austin,2,6,1
1525,1,725.0,Oak Hill,1,7,1
1195,1,675.0,Austin,1,8,1
1725,1,832.0,"Detach Garages, 1st come 1st serve",1,8,1
1310,1,512.0,Austin,1,8,1
2473,2,1235.0,Pflugerville,2,6,1
2280,2,1166.0,N. Austin,2,6,1
1520,1,604.0,North Austin,1,6,1
1070,0,275.0,"8300 North Interstate Highway 35, Austin, TX",1,3,1
2476,2,1237.0,North Austin,2,6,1
1578,1,620.0,North ATX,1,6,1
1518,1,602.0,Pflugerville,1,6,1
1518,1,601.0,Pflugerville,1,6,1
2283,2,1167.0,Pflugerville,2,6,1
2283,2,1165.0,North Austin,2,6,1
2281,2,1165.0,North Austin,2,6,1
1600,2,950.0,9602 Sugar  hill,1,2,1
1310,1,512.0,Austin,1,8,1
1345,1,665.0,Austin,1,8,1
1195,1,675.0,Austin,1,8,1
1245,1,665.0,Austin,1,8,1
1310,1,512.0,Austin,1,8,1
1124,1,484.0,Austin,1,6,1
1443,1,681.0,Round Rock,1,5,1
1567,1,619.0,Pflugerville,1,6,1
3100,3,1707.0,South West Austin,3,5,1
3500,3,1954.0,South West Austin,3,5,1
2750,3,1706.0,South East Austin,2,3,1
2510,3,1314.0,South East Austin,2,3,1
2590,3,1665.0,South East,3,3,1
1825,1,850.0,East Austin Govalle Airport,1,8,1
1855,1,799.0,Central Austin North Univeristy Mueller MLK,1,9,1
1579,1,617.0,Pflugerville,1,6,1
1938,2,1100.0,Austin,1,6,1
2201,2,1232.0,Austin,2,6,1
1969,2,860.0,Austin - Adjacent to Downtown ATX,1,6,1
1663,1,695.0,The Domain North Austin,1,9,1
